Category,Sub Category,Product_id,Product_name,Price,Rating_value,Rating_count,Frequently_bought_together
Sách văn học,Light novel,2318533,Cuộc Chiến Siêu Nhiên Giữa Đời Thường (Tập 6),59000,5,2,2329013;2297621;2373935;2297499;
Sách thiếu nhi ,Truyện tranh Ehon,2073417,Ehon Nhật Bản 0 - 6 Tuổi: Chơi Cùng Giri Chú Bé Cơm Nắm - Xe Của Ai Đây Nhỉ?,21750,0,0,2073421;2073423;2073419;2063593;
Sách tham khảo cấp II,Sách Tham Khảo Lớp 7,3055209,Big 4 Bộ Đề Tự Kiểm Tra 4 Kỹ Năng Nghe - Nói - Đọc - Viết (Cơ Bản Và Nâng Cao) Tiếng Anh Lớp 7 Tập 2,55200,0,0,None
Sách Học Ngoại Ngữ,Sách Học Tiếng Hoa,2211041,Combo Giáo Trình Hán Ngữ Tập 2: Quyển Thượng + Quyển Hạ,98000,4.8,4,2211311;2225159;2225139;
Sách tiếng Việt ,Sách văn học,392803,Tiếng Thở Dài Của Suzumiya Haruhi,37800,4.2,31,479750;540790;552920;526378;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",421511,Thám Tử Lừng Danh Conan 43 (Tái Bản 2014),16020,4.8,11,414897;414735;421496;414813;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",3482791,Natsume'S Book Of Friends (Tập 19),18000,4,1,None
Sách kinh tế,Sách Marketing - Bán hàng ,1229799,Combo Marketing 4.0: Branding 4.0 + PR Và Những Lầm Tưởng (Tặng Kèm 1 Cuốn 24/8 - Để Dẫn Đầu Trong Mọi Cuộc Đua),229599,3.7,3,916559;1016001;951269;1284187;
Sách kinh tế,Sách kỹ năng làm việc,1352353,"Gieo Thói Quen Nhỏ, Gặt Thành Công Lớn (Tái Bản 2018)",59000,4.8,9,1352349;1205123;1205107;1387549;
Bút - Viết các loại,Bút Gel - Bút Nước,410116,Bút Gel Bấm Marvy - RG5 - Màu Xanh,12000,4.5,20,None
Sách thiếu nhi ,Truyện tranh Ehon,888708,Combo Ehon Nhật Bản Ai Ở Sau Lưng Bạn Thế: Dành Cho Trẻ Từ 0 - 3 Tuổi,128000,4.8,16,None
